time_ms,kernel,run_id,batch_size,time_proportion,model,dataset
0.178047,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",0,1,0.8376987200000001,catboost,churn_modelling:numerical
0.178431,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",1,1,0.8373622000000001,catboost,churn_modelling:numerical
0.178176,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",2,1,0.8084797399999999,catboost,churn_modelling:numerical
0.177952,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",0,5,0.83737389,catboost,churn_modelling:numerical
0.178079,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",1,5,0.8383541700000001,catboost,churn_modelling:numerical
0.178176,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",2,5,0.8372932299999999,catboost,churn_modelling:numerical
0.179136,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",0,27,0.8095444700000001,catboost,churn_modelling:numerical
0.178912,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",1,27,0.8140652300000001,catboost,churn_modelling:numerical
0.178720,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",2,27,0.8156857,catboost,churn_modelling:numerical
0.178527,"EvalObliviousTrees(uchar4 const *, unsigned int const *, unsigned int, unsigned int const *, TGPURepackedBin const *, unsigned int const *, unsigned int, float const *, unsigned int, float*)",0,147,0.82310334,catboost,churn_modelling:numerical
